hotel_name,location,features,ratings,reviews,review_title,room_style,price,tax_charges,city,duration,persons,cancellation_policy,pre_payment,breakfast_included,Beds,Rooms
Candolim Serenity Resort - Top Rated & Most Awarded Property in Goa,Old Goa,Double Room1 double bedFree cancellationNo prepayment needed – pay at the property,7.4,12.0,Good,Double Room,39060.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,1 double bed,2 bedroomsss
"Hotel Golden Rice Sarenity With Swimming Pool, Goa",Aguada,Deluxe Room1 double bedFree cancellation,6.7,55.0,Good,Deluxe Room,47811.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 double bed,Deluxe Room
Ronnie's Studio Apartment,Saligao,"Apartment with BalconyEntire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 56m²2 beds (1 double, 1 sofa bed)Free cancellationOnly 1 left at this price on our site",7.9,123.0,Good,Apartment with Balcony,34097.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,,1 bedroom
La Vera Boutique Hotel,Mandrem,Standard King Room1 extra-large double bedFree cancellationOnly 3 rooms left at this price on our site,8.0,218.0,Very good,Standard King Room,37725.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 extra-large double bed,King Room
"The Golden Wings Resort, Goa - Property of the Year",Aguada,Deluxe Room1 double bedFree cancellationOnly 3 rooms left at this price on our site,6.1,7.0,Good,Deluxe Room,40497.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 double bed,Deluxe Room
Hotel Shivam INN - 1 km from calangute Beach,Verla,King Room1 double bedFree cancellationNo prepayment needed – pay at the property,10.0,3.0,Exceptional,King Room,22498.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,1 double bed,King Room
The Four season cottage By GR,Aguada,Deluxe Room1 double bedFree cancellation,8.6,16.0,Fabulous,Deluxe Room,39598.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 double bed,Deluxe Room
Storii By ITC Hotels Moira Riviera,Moira,Deluxe Room with Balcony1 large double bedFree cancellationNo prepayment needed – pay at the propertyOnly 2 rooms left at this price on our site,8.7,3.0,Fabulous,Deluxe Room with Balcony,72997.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,1 large double bed,Deluxe Room
Nirvana Hill Resort,Curtorim,Lake View Pinewood Cottage1 extra-large double bedFree cancellationOnly 1 room left at this price on our site,8.6,81.0,Fabulous,Lake View Pinewood Cottage,40800.0,"3 nights, 2 adults",Goa,3,2,Yes,Yes,No,1 extra-large double bed,Cottage
Omkar wellness inn,"Arambol beach, Arambol",King Room with Balcony1 extra-large double bedFree cancellationNo prepayment needed – pay at the propertyOnly 5 rooms left at this price on our site,8.2,144.0,Very good,King Room with Balcony,36800.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,1 extra-large double bed,King Room
Skon Morjim Beach Resort by Orion Hotels,Morjim,Deluxe Double or Twin RoomBeds: 1 double or 2 singlesFree cancellationNo prepayment needed – pay at the propertyOnly 5 rooms left at this price on our site,8.1,40.0,Very good,Deluxe Double or Twin Room,43548.0,"3 nights, 2 adults",Goa,3,2,Yes,No,No,Beds: 1 double or 2 singles,2 bedroomsss
